**************************************************
Checking constraint violation of RightStance:
***************************************
Constraint: timeDuration 	Node: 1 
---------------------------------------
       Lower   Constraint        Upper
5.00000000E-01 9.95220731E-01 1.00000000E+00
***************************************
Constraint: intX 	Node: 2 
---------------------------------------
       Lower   Constraint        Upper
-1.00000000E-04 1.22519846E-04 1.00000000E-04
-1.00000000E-04 -9.87987354E-13 1.00000000E-04
-1.00000000E-04 9.51565683E-13 1.00000000E-04
-1.00000000E-04 5.33862780E-14 1.00000000E-04
-1.00000000E-04 -1.24533406E-04 1.00000000E-04
-1.00000000E-04 8.55003828E-05 1.00000000E-04
-1.00000000E-04 6.40356629E-05 1.00000000E-04
-1.00000000E-04 7.97811755E-05 1.00000000E-04
-1.00000000E-04 -7.25055362E-05 1.00000000E-04
-1.00000000E-04 -2.42323306E-04 1.00000000E-04
-1.00000000E-04 -1.26680806E-06 1.00000000E-04
-1.00000000E-04 8.47256380E-06 1.00000000E-04
